1.000000E-01 6.986667E-07
7.943282E-02 3.599744E-07
6.309573E-02 1.743193E-07
5.011872E-02 7.317511E-08
3.981072E-02 4.569062E-08
3.162278E-02 1.897272E-08
2.511886E-02 1.082876E-08
1.995262E-02 8.194938E-09
1.584893E-02 5.561114E-09
1.258925E-02 2.927291E-09
1.000000E-02 2.934667E-10
7.943282E-03 1.446914E-10
6.309573E-03 6.695067E-11
5.011872E-03 2.678042E-11
3.981072E-03 1.658575E-11
3.162278E-03 6.703040E-12
2.511886E-03 3.739454E-12
1.995262E-03 2.828490E-12
1.584893E-03 1.917527E-12
1.258925E-03 1.006563E-12
1.000000E-03 9.560000E-14
7.943282E-04 9.368800E-14
6.309573E-04 9.177600E-14
5.011872E-04 8.986400E-14
3.981072E-04 8.795200E-14
3.162278E-04 8.604000E-14
2.511886E-04 8.412800E-14
1.995262E-04 8.221600E-14
1.584893E-04 8.030400E-14
1.258925E-04 7.839200E-14
1.000000E-04 7.648000E-14
