 0.000000e+00  7.854232e-02  5.251785e-06
 7.854232e-02  1.570846e-01  5.295061e-06
 1.570846e-01  2.356269e-01  5.272218e-06
 2.356269e-01  3.141693e-01  5.331634e-06
 3.141693e-01  3.927116e-01  5.443565e-06
 3.927116e-01  4.712539e-01  5.565639e-06
 4.712539e-01  5.497962e-01  5.614429e-06
 5.497962e-01  6.283385e-01  5.821559e-06
 6.283385e-01  7.068808e-01  5.935994e-06
 7.068808e-01  7.854232e-01  6.137437e-06
 7.854232e-01  8.639655e-01  6.368454e-06
 8.639655e-01  9.425078e-01  6.594299e-06
 9.425078e-01  1.021050e+00  6.824985e-06
 1.021050e+00  1.099592e+00  7.188759e-06
 1.099592e+00  1.178135e+00  7.582826e-06
 1.178135e+00  1.256677e+00  7.976597e-06
 1.256677e+00  1.335219e+00  8.443004e-06
 1.335219e+00  1.413762e+00  9.051943e-06
 1.413762e+00  1.492304e+00  9.748244e-06
 1.492304e+00  1.570846e+00  1.036098e-05
 1.570846e+00  1.649389e+00  1.140820e-05
 1.649389e+00  1.727931e+00  1.233676e-05
 1.727931e+00  1.806473e+00  1.356726e-05
 1.806473e+00  1.885016e+00  1.517483e-05
 1.885016e+00  1.963558e+00  1.668295e-05
 1.963558e+00  2.042100e+00  1.871868e-05
 2.042100e+00  2.120643e+00  2.107898e-05
 2.120643e+00  2.199185e+00  2.441428e-05
 2.199185e+00  2.277727e+00  2.823371e-05
 2.277727e+00  2.356269e+00  3.284464e-05
 2.356269e+00  2.434812e+00  3.929290e-05
 2.434812e+00  2.513354e+00  4.756418e-05
 2.513354e+00  2.591896e+00  5.875246e-05
 2.591896e+00  2.670439e+00  7.506970e-05
 2.670439e+00  2.748981e+00  9.871616e-05
 2.748981e+00  2.827523e+00  1.373842e-04
 2.827523e+00  2.906066e+00  2.033217e-04
 2.906066e+00  2.984608e+00  3.407586e-04
 2.984608e+00  3.063150e+00  7.370873e-04
 3.063150e+00  3.141693e+00 -4.364816e-04
