 1.000000e-03  1.071519e-03  9.569914e-12  6.050685e-12  1.490734e-11
 1.071519e-03  1.148154e-03  1.113424e-11  7.426371e-12  1.922396e-11
 1.148154e-03  1.230269e-03  1.377042e-11  7.349006e-12  2.260969e-11
 1.230269e-03  1.318257e-03  1.456608e-11  1.048957e-11  2.591853e-11
 1.318257e-03  1.412538e-03  1.874636e-11  1.136510e-11  2.882500e-11
 1.412538e-03  1.513561e-03  1.881869e-11  1.333956e-11  3.439980e-11
 1.513561e-03  1.621810e-03  2.235231e-11  1.425347e-11  4.075603e-11
 1.621810e-03  1.737801e-03  2.756519e-11  1.841553e-11  4.284944e-11
 1.737801e-03  1.862087e-03  2.823314e-11  1.867957e-11  5.429230e-11
 1.862087e-03  1.995262e-03  3.424863e-11  2.099441e-11  5.919317e-11
 1.995262e-03  2.137962e-03  3.917606e-11  2.495394e-11  6.021849e-11
 2.137962e-03  2.290868e-03  4.001442e-11  3.061099e-11  7.575770e-11
 2.290868e-03  2.454709e-03  5.847994e-11  3.438205e-11  8.807278e-11
 2.454709e-03  2.630268e-03  5.602792e-11  4.061936e-11  1.030010e-10
 2.630268e-03  2.818383e-03  6.797436e-11  4.558230e-11  1.153049e-10
 2.818383e-03  3.019952e-03  7.607229e-11  5.113635e-11  1.209503e-10
 3.019952e-03  3.235937e-03  8.408300e-11  5.967376e-11  1.436279e-10
 3.235937e-03  3.467369e-03  1.037253e-10  6.973568e-11  1.646837e-10
 3.467369e-03  3.715352e-03  1.225041e-10  7.400919e-11  1.935710e-10
 3.715352e-03  3.981072e-03  1.328237e-10  9.631439e-11  2.222092e-10
 3.981072e-03  4.265795e-03  1.497666e-10  9.756236e-11  2.530557e-10
 4.265795e-03  4.570882e-03  1.834065e-10  1.209537e-10  2.771150e-10
 4.570882e-03  4.897788e-03  1.895175e-10  1.411771e-10  3.461994e-10
 4.897788e-03  5.248075e-03  2.320745e-10  1.562763e-10  4.005243e-10
 5.248075e-03  5.623413e-03  2.691394e-10  1.842435e-10  4.452104e-10
 5.623413e-03  6.025596e-03  3.156889e-10  2.065670e-10  4.981438e-10
 6.025596e-03  6.456542e-03  3.657002e-10  2.359012e-10  5.752699e-10
 6.456542e-03  6.918310e-03  4.213498e-10  2.559854e-10  6.717097e-10
 6.918310e-03  7.413102e-03  4.651752e-10  3.096109e-10  8.140585e-10
 7.413102e-03  7.943282e-03  5.287508e-10  3.733725e-10  8.948253e-10
