7.943282e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.235937e-01	1.888687e-06	5.876106e-06	-1.025344e-06	1.712216e-07	6.028052e-07	-9.424842e-08
1.318257e-01	6.984726e-04	1.129230e-03	-1.591852e-04	1.091718e-04	2.021859e-04	-2.231191e-05
5.370318e-02	6.080846e-03	6.369605e-03	-8.583071e-04	1.027119e-03	1.251739e-03	-1.186123e-04
2.187762e-02	1.849169e-02	1.375556e-02	-1.884397e-03	3.022890e-03	2.693014e-03	-2.419606e-04
8.912509e-03	3.581215e-02	1.984608e-02	-2.785155e-03	5.507255e-03	3.830091e-03	-3.336343e-04
3.630781e-03	5.537598e-02	2.641155e-02	-3.314920e-03	8.034348e-03	4.934709e-03	-3.751173e-04
1.479108e-03	7.587414e-02	3.110553e-02	-3.453622e-03	1.052599e-02	5.942933e-03	-3.759380e-04
6.025596e-04	9.714908e-02	3.594635e-02	-3.307187e-03	1.306821e-02	6.597666e-03	-3.549545e-04
2.454709e-04	1.196055e-01	4.289834e-02	-3.002749e-03	1.577054e-02	7.803845e-03	-3.275352e-04
1.000000e-04	1.438295e-01	5.230043e-02	-2.650871e-03	1.872522e-02	9.204007e-03	-3.031749e-04
