 0.000000e+00  5.555556e-01  0.000000e+00
 5.555556e-01  1.111111e+00  0.000000e+00
 1.111111e+00  1.666667e+00  0.000000e+00
 1.666667e+00  2.222222e+00  0.000000e+00
 2.222222e+00  2.777778e+00  0.000000e+00
 2.777778e+00  3.333333e+00  9.844024e-03
 3.333333e+00  3.888889e+00  4.497019e-02
 3.888889e+00  4.444444e+00  1.401356e-02
 4.444444e+00  5.000000e+00  4.902402e-03
 5.000000e+00  5.555556e+00  1.941847e-03
 5.555556e+00  6.111111e+00  9.180883e-04
 6.111111e+00  6.666667e+00  4.894700e-04
 6.666667e+00  7.222222e+00  2.834762e-04
 7.222222e+00  7.777778e+00  1.648083e-04
 7.777778e+00  8.333333e+00  9.678193e-05
 8.333333e+00  8.888889e+00  5.310377e-05
 8.888889e+00  9.444444e+00  2.969488e-05
 9.444444e+00  1.000000e+01  1.752548e-05
 1.000000e+01  1.055556e+01  9.583516e-06
 1.055556e+01  1.111111e+01  5.713222e-06
 1.111111e+01  1.166667e+01  2.987380e-06
 1.166667e+01  1.222222e+01  1.613574e-06
 1.222222e+01  1.277778e+01  9.098331e-07
 1.277778e+01  1.333333e+01  5.108162e-07
 1.333333e+01  1.388889e+01  3.110813e-07
 1.388889e+01  1.444444e+01  1.734812e-07
 1.444444e+01  1.500000e+01  9.007698e-08
 1.500000e+01  1.555556e+01  6.651074e-08
 1.555556e+01  1.611111e+01  2.767922e-08
 1.611111e+01  1.666667e+01  9.957555e-09
 1.666667e+01  1.722222e+01  7.183960e-09
 1.722222e+01  1.777778e+01  3.333614e-09
 1.777778e+01  1.833333e+01  2.510562e-09
 1.833333e+01  1.888889e+01  1.536950e-09
 1.888889e+01  1.944444e+01  8.882521e-10
 1.944444e+01  2.000000e+01  8.144718e-10
