 1.000000e-03	-5.362329e-08	 1.135289e-12	-6.882761e-12	 3.330561e-16	-5.744753e-08	 1.212726e-12	-6.329907e-08	 1.340199e-12	-9.682772e-09	 2.051711e-13	-5.361579e-08	 1.135017e-12	 2.410883e-14	 6.198603e-14	-2.614033e-14	 6.590431e-14	 1.057397e-19	 2.976910e-19	 1.000000e-03	-5.360117e-08	 6.366128e-11	-6.883572e-12	 5.493659e-15	-5.736695e-08	 6.165792e-11	-6.327296e-08	 7.514963e-11	-9.678798e-09	 1.149731e-11	-5.736744e-08	 6.165866e-11	 2.495264e-13	 2.762192e-12	 2.776023e-12	 2.609378e-12	-1.862261e-17	 3.788894e-17
 1.148154e-03	-6.467083e-08	 1.370389e-12	-9.540005e-12	 4.633654e-16	-6.937445e-08	 1.465238e-12	-7.633942e-08	 1.617731e-12	-1.167828e-08	 2.477058e-13	-6.466042e-08	 1.370011e-12	 3.118835e-14	 8.028320e-14	-3.366057e-14	 8.544610e-14	 1.574743e-19	 4.507364e-19	 1.148154e-03	-6.470914e-08	 5.211611e-11	-9.531537e-12	 7.805502e-15	-6.933416e-08	 5.360287e-11	-7.624862e-08	 6.589194e-11	-1.168573e-08	 1.355458e-11	-6.933488e-08	 5.360315e-11	-2.056632e-12	 3.315026e-12	-9.960526e-13	 3.609860e-12	 6.582881e-17	 5.750990e-17
 1.318257e-03	-7.796328e-08	 1.653463e-12	-1.321824e-11	 6.447206e-16	-8.374833e-08	 1.769830e-12	-9.202942e-08	 1.951893e-12	-1.407954e-08	 2.989328e-13	-7.794887e-08	 1.652940e-12	 4.043636e-14	 1.039477e-13	-4.338569e-14	 1.107516e-13	 2.341810e-19	 6.825027e-19	 1.318257e-03	-7.788117e-08	 8.073390e-11	-1.322943e-11	 1.055177e-14	-8.383558e-08	 6.527934e-11	-9.193245e-08	 9.530219e-11	-1.406785e-08	 1.141377e-11	-8.385530e-08	 6.511393e-11	 8.896221e-12	 4.114010e-12	-1.160983e-11	 4.595032e-12	 7.638440e-18	 8.678289e-17
 1.513561e-03	-9.394892e-08	 1.994118e-12	-1.830760e-11	 8.969239e-16	-1.010637e-07	 2.137109e-12	-1.108980e-07	 2.354028e-12	-1.696765e-08	 3.606115e-13	-9.392896e-08	 1.993389e-12	 5.243510e-14	 1.345463e-13	-5.595201e-14	 1.435114e-13	 3.476939e-19	 1.033510e-18	 1.513561e-03	-9.393537e-08	 8.574514e-11	-1.828639e-11	 1.490798e-14	-1.009820e-07	 8.352634e-11	-1.109099e-07	 1.094422e-10	-1.696951e-08	 1.674551e-11	-1.009514e-07	 8.054921e-11	-4.991830e-12	 5.340354e-12	 6.088277e-12	 7.600960e-12	-3.980554e-17	 1.314670e-16
 1.737801e-03	-1.131635e-07	 2.404237e-12	-2.534632e-11	 1.246058e-15	-1.219134e-07	 2.579806e-12	-1.335774e-07	 2.838161e-12	-2.043959e-08	 4.349019e-13	-1.131358e-07	 2.403221e-12	 6.797715e-14	 1.740962e-13	-7.219013e-14	 1.859076e-13	 5.153362e-19	 1.565155e-18	 1.737801e-03	-1.130858e-07	 9.603884e-11	-2.531304e-11	 2.094962e-14	-1.218713e-07	 1.330210e-10	-1.334453e-07	 1.114616e-10	-2.040533e-08	 1.712814e-11	-1.218526e-07	 1.004243e-10	-2.858103e-12	 7.204406e-12	 7.653816e-12	 7.660381e-12	 2.111576e-16	 1.992673e-16
 1.995262e-03	-1.362467e-07	 2.897720e-12	-3.507652e-11	 1.728795e-15	-1.470070e-07	 3.113311e-12	-1.608225e-07	 3.420700e-12	-2.461121e-08	 5.243411e-13	-1.362084e-07	 2.896306e-12	 8.818890e-14	 2.251856e-13	-9.350888e-14	 2.407450e-13	 7.616106e-19	 2.370496e-18	 1.995262e-03	-1.363398e-07	 1.275113e-10	-3.503851e-11	 2.884749e-14	-1.468967e-07	 1.246212e-10	-1.607012e-07	 1.340404e-10	-2.459263e-08	 2.051446e-11	-1.469963e-07	 1.221566e-10	-5.481193e-12	 8.936150e-12	 5.393770e-12	 9.568507e-12	 9.912388e-17	 3.017001e-16
 2.290868e-03	-1.639618e-07	 3.491233e-12	-4.852082e-11	 2.398418e-15	-1.771938e-07	 3.755057e-12	-1.935337e-07	 4.121317e-12	-2.962079e-08	 6.319777e-13	-1.639089e-07	 3.489266e-12	 1.146820e-13	 2.911610e-13	-1.212236e-13	 3.116606e-13	 1.118379e-18	 3.590566e-18	 2.290868e-03	-1.640769e-07	 1.377404e-10	-4.846947e-11	 4.070367e-14	-1.770700e-07	 1.440310e-10	-1.936697e-07	 1.625639e-10	-2.961776e-08	 3.741529e-11	-1.770568e-07	 1.454250e-10	-8.045049e-14	 1.179685e-11	 1.523768e-11	 1.258494e-11	 6.570401e-16	 4.559582e-16
 2.630268e-03	-1.972175e-07	 5.059287e-12	-6.708739e-11	 3.326937e-15	-2.134893e-07	 4.527442e-12	-2.327830e-07	 5.972250e-12	-3.563303e-08	 9.161890e-13	-1.971443e-07	 5.055953e-12	 1.492410e-13	 3.763297e-13	-1.571377e-13	 4.033373e-13	 1.635626e-18	 5.439181e-18	 2.630268e-03	-1.972011e-07	 1.685302e-10	-6.705178e-11	 5.701079e-14	-2.136774e-07	 1.758889e-10	-2.328268e-07	 2.367415e-10	-3.563010e-08	 3.045536e-11	-2.135104e-07	 1.749713e-10	-9.091015e-12	 1.484899e-11	-1.379468e-11	 1.590944e-11	-4.561902e-16	 6.901549e-16
 3.019952e-03	-2.370996e-07	 6.107258e-12	-9.271411e-11	 4.614336e-15	-2.571066e-07	 5.456824e-12	-2.798514e-07	 7.209282e-12	-4.284490e-08	 1.106373e-12	-2.369985e-07	 6.102605e-12	 1.948523e-13	 4.862446e-13	-2.038370e-13	 5.218070e-13	 2.383104e-18	 8.240581e-18	 3.019952e-03	-2.370964e-07	 2.118403e-10	-9.280606e-11	 1.068212e-13	-2.573520e-07	 2.776496e-10	-2.796907e-07	 2.555802e-10	-4.289883e-08	 4.210463e-11	-2.572260e-07	 2.123434e-10	-1.695248e-11	 2.040260e-11	 1.920392e-11	 2.087790e-11	-6.007818e-16	 1.043013e-15
 3.467369e-03	-2.848962e-07	 7.360705e-12	-1.280657e-10	 6.398728e-15	-3.094942e-07	 6.574507e-12	-3.362580e-07	 8.688808e-12	-5.149017e-08	 1.334155e-12	-2.847565e-07	 7.354447e-12	 2.549238e-13	 6.279889e-13	-2.645081e-13	 6.748117e-13	 3.458992e-18	 1.248642e-17	 3.467369e-03	-2.842379e-07	 2.759339e-10	-1.281045e-10	 1.407008e-13	-3.090660e-07	 2.623855e-10	-3.368522e-07	 3.417084e-10	-5.134362e-08	 6.209250e-11	-3.091834e-07	 2.623700e-10	 3.653928e-11	 2.480114e-11	-4.689154e-12	 3.939736e-11	 1.792953e-15	 1.578660e-15
