 0.000000e+00  1.600000e-01 -7.841183e-07
 1.600000e-01  3.200000e-01 -1.478310e-05
 3.200000e-01  4.800000e-01 -6.892991e-05
 4.800000e-01  6.400000e-01 -1.474780e-04
 6.400000e-01  8.000000e-01 -3.286928e-04
 8.000000e-01  9.600000e-01 -5.074212e-04
 9.600000e-01  1.120000e+00 -6.636174e-04
 1.120000e+00  1.280000e+00 -7.945308e-04
 1.280000e+00  1.440000e+00 -1.134578e-03
 1.440000e+00  1.600000e+00 -1.278425e-03
 1.600000e+00  1.760000e+00 -1.427142e-03
 1.760000e+00  1.920000e+00 -1.646131e-03
 1.920000e+00  2.080000e+00 -1.468984e-03
 2.080000e+00  2.240000e+00 -1.719420e-03
 2.240000e+00  2.400000e+00 -1.609665e-03
 2.400000e+00  2.560000e+00 -1.625160e-03
 2.560000e+00  2.720000e+00 -1.568616e-03
 2.720000e+00  2.880000e+00 -1.476174e-03
 2.880000e+00  3.040000e+00 -1.620305e-03
 3.040000e+00  3.200000e+00 -1.167743e-03
 3.200000e+00  3.360000e+00 -1.340003e-03
 3.360000e+00  3.520000e+00 -1.413678e-03
 3.520000e+00  3.680000e+00 -6.254837e-04
 3.680000e+00  3.840000e+00 -1.441271e-03
 3.840000e+00  4.000000e+00 -8.215685e-04
 4.000000e+00  4.160000e+00 -7.621856e-04
 4.160000e+00  4.320000e+00 -7.584582e-04
 4.320000e+00  4.480000e+00 -5.619357e-04
 4.480000e+00  4.640000e+00 -4.978160e-04
 4.640000e+00  4.800000e+00 -6.991271e-04
 4.800000e+00  4.960000e+00 -4.768153e-04
 4.960000e+00  5.120000e+00 -4.899613e-04
 5.120000e+00  5.280000e+00 -2.358565e-04
 5.280000e+00  5.440000e+00 -4.586108e-04
 5.440000e+00  5.600000e+00 -2.122801e-04
 5.600000e+00  5.760000e+00 -3.212206e-04
 5.760000e+00  5.920000e+00 -1.400994e-04
 5.920000e+00  6.080000e+00 -2.818305e-04
 6.080000e+00  6.240000e+00 -1.649274e-04
 6.240000e+00  6.400000e+00 -2.763319e-04
 6.400000e+00  6.560000e+00 -1.599242e-04
 6.560000e+00  6.720000e+00 -1.732639e-04
 6.720000e+00  6.880000e+00 -8.256643e-05
 6.880000e+00  7.040000e+00 -9.513796e-05
 7.040000e+00  7.200000e+00 -1.727629e-04
 7.200000e+00  7.360000e+00 -2.733311e-05
 7.360000e+00  7.520000e+00 -9.659616e-05
 7.520000e+00  7.680000e+00 -2.353079e-05
 7.680000e+00  7.840000e+00 -5.741640e-05
 7.840000e+00  8.000000e+00 -7.333114e-05
